fold,test_acc,test_bal_acc,best_val_acc,best_val_bal_acc
holdout1,0.656250,0.656250,0.609544,0.609483
holdout2,0.350694,0.350694,0.648590,0.648388
holdout3,0.593750,0.593750,0.592191,0.592035
holdout4,0.447917,0.447917,0.624729,0.624606
holdout5,0.315972,0.315972,0.622560,0.622283
holdout6,0.347222,0.347222,0.631236,0.630978
holdout7,0.388889,0.388889,0.600868,0.600450
holdout8,0.545139,0.545139,0.570499,0.570259
holdout9,0.545139,0.545139,0.592191,0.591829
