fold,test_acc,test_bal_acc,best_val_acc,best_val_bal_acc
subj1,0.281250,0.281250,0.293103,0.300000
subj2,0.256944,0.256944,0.396552,0.391667
subj3,0.253472,0.253472,0.396552,0.394048
subj4,0.315972,0.315972,0.327586,0.327381
subj5,0.263889,0.263889,0.293103,0.297619
subj6,0.239583,0.239583,0.310345,0.305952
subj7,0.329861,0.329861,0.327586,0.328571
subj8,0.270833,0.270833,0.344828,0.340476
subj9,0.291667,0.291667,0.275862,0.282143
