fold,test_acc,test_bal_acc,best_val_acc,best_val_bal_acc
subj1,0.673611,0.673611,0.741379,0.739286
subj2,0.232639,0.232639,0.344828,0.350000
subj3,0.482639,0.482639,0.534483,0.523810
subj4,0.364583,0.364583,0.310345,0.317857
subj5,0.274306,0.274306,0.379310,0.377381
subj6,0.253472,0.253472,0.275862,0.267857
subj7,0.416667,0.416667,0.517241,0.511905
subj8,0.614583,0.614583,0.706897,0.704762
subj9,0.597222,0.597222,0.637931,0.636905
