fold,test_acc,test_bal_acc,val_acc,val_bal_acc
holdout1,0.517361,0.517361,0.444685,0.444678
holdout2,0.218750,0.218750,0.548807,0.548726
holdout3,0.534722,0.534722,0.496746,0.496627
holdout4,0.326389,0.326389,0.527115,0.526987
holdout5,0.277778,0.277778,0.518438,0.518385
holdout6,0.333333,0.333333,0.546638,0.546570
holdout7,0.274306,0.274306,0.505423,0.505229
holdout8,0.486111,0.486111,0.496746,0.496589
holdout9,0.638889,0.638889,0.472885,0.472601
